deso_kod,tenure_type,n_grid_cells,RutStorl,w_30,Ar30_34,Ar35_39,Ar40_44,Ar45_49,Ar50_54,Ar55_59,Ar60,Ar61,Ar62,Ar63,Ar64,Ar65,Ar66,Ar67,Ar68,Ar69,Ar70,Ar71,Ar72,Ar73,Ar74,Ar75,Ar76,Ar77,Ar78,Ar79,Ar80,Ar81_85,Ar86_90,Ar91_95,Ar96_00,Ar01_05,Ar06_10,Ar11_w,UppgSakn,Totalt,Ar65_74,Ar55_64,Ar75_85,Ar60_64,Ar75_79,Shape_Length,Shape_Area
1430A0010,rental,6,6.0,18.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,4.0,0.0,0.0,0.0,0.0,0.0,40.0,0,0.0,0,0.0,0.0,23999.99680000171,5999998.399985416
1419A0010,rental,1,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0.0,0,0.0,0.0,3999.9894000012428,999994.7000067413
1480C2720,rental,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0.0,0,0.0,0.0,1000.0134000014514,62501.674977181414
1421C1020,rental,8,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,3.0,0.0,40.0,0.0,0.0,28.0,42.0,0.0,0.0,0.0,12.0,0.0,167.0,42,0.0,43,0.0,43.0,8000.015399999917,500001.92505341955
1430C1010,rental,12,23.0,20.0,0.0,0.0,0.0,10.0,13.0,51.0,0.0,0.0,13.0,0.0,0.0,50.0,0.0,0.0,40.0,70.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,12.0,91.0,0.0,0.0,0.0,0.0,0.0,445.0,188,64.0,47,13.0,47.0,15000.021199999377,1687498.6750343083
1419A0030,rental,1,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0,0.0,0,0.0,0.0,3999.989600000903,999994.8000064015
1485A0070,rental,1,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0.0,0,0.0,0.0,3999.9894000012428,999994.7000067413
1421B4010,rental,4,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,12.0,15.0,0.0,8.0,0.0,0.0,0.0,47.0,8,0.0,4,0.0,4.0,3999.972800001502,249996.60000918776
1419B2010,rental,5,9.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,100.0,0.0,0.0,0.0,0.0,0.0,124.0,0,0.0,0,0.0,0.0,8000.028800005093,1250005.8499647267
1421B5010,rental,3,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,24.0,8,0.0,0,0.0,0.0,11999.98459999822,2999992.2999879504
